ano;mes;bioma;psn_g_c_m2;et_mm;pet_mm;ida;lst_dia_c;precip_mm;area_queimada_ha;oni;fonte
2003;11;Caatinga;60,1874;52,5669;;0,1959;36,9875;84,48;5625,0;0,29;planilha Benfica 2001-2020 corrigida
2003;11;Cerrado;69,218;69,4078;;0,2712;36,07;143,6092;26325,0;0,29;planilha Benfica 2001-2020 corrigida
2003;11;Mata Atlântica;130,7578;98,9406;;0,387;35,2295;73,0;4650,0;0,29;planilha Benfica 2001-2020 corrigida
2003;12;Caatinga;44,1799;42,186;;0,1787;36,53;30,92;12925,0;0,29;planilha Benfica 2001-2020 corrigida
2003;12;Cerrado;72,3686;70,07;;0,3098;33,8975;128,5146;15100,0;0,29;planilha Benfica 2001-2020 corrigida
2003;12;Mata Atlântica;103,0807;83,9692;;0,3707;33,605;49,8188;29075,0;0,29;planilha Benfica 2001-2020 corrigida
2004;1;Caatinga;66,4326;67,9122;;0,4005;33,9033;357,22;925,0;0,34;planilha Benfica 2001-2020 corrigida
2004;1;Cerrado;93,2125;82,8518;;0,5044;31,4167;380,68;2675,0;0,34;planilha Benfica 2001-2020 corrigida
2004;1;Mata Atlântica;93,7921;84,7308;;0,5489;32,2206;239,3357;200,0;0,34;planilha Benfica 2001-2020 corrigida
2004;2;Caatinga;167,1746;130,8961;;0,5694;29,01;134,67;625,0;0,27;planilha Benfica 2001-2020 corrigida
2004;2;Cerrado;140,3181;115,6979;;0,6366;29,1875;245,3;350,0;0,27;planilha Benfica 2001-2020 corrigida
2004;2;Mata Atlântica;168,3671;128,5803;;0,5961;29,7575;151,38;2150,0;0,27;planilha Benfica 2001-2020 corrigida
2004;3;Caatinga;143,7385;123,3922;;0,5566;28,0325;125,06;3100,0;0,19;planilha Benfica 2001-2020 corrigida
2004;3;Cerrado;138,3204;121,3091;;0,6124;28,3225;236,0;35625,0;0,19;planilha Benfica 2001-2020 corrigida
2004;3;Mata Atlântica;133,2363;115,0139;;0,6313;29,6375;231,27;2625,0;0,19;planilha Benfica 2001-2020 corrigida
2004;4;Caatinga;135,8916;113,7547;;0,5011;28,7675;22,49;1475,0;0,1;planilha Benfica 2001-2020 corrigida
2004;4;Cerrado;142,0457;117,3252;;0,5443;29,2625;102,42;12900,0;0,1;planilha Benfica 2001-2020 corrigida
2004;4;Mata Atlântica;138,4366;116,6995;;0,6402;27,7675;99,49;575,0;0,1;planilha Benfica 2001-2020 corrigida
2004;5;Caatinga;119,7174;83,1108;;0,4194;28,7025;27,02;750,0;0,12;planilha Benfica 2001-2020 corrigida
2004;5;Cerrado;129,1688;90,7854;;0,4667;29,3675;3,72;19575,0;0,12;planilha Benfica 2001-2020 corrigida
2004;5;Mata Atlântica;133,3979;110,4857;;0,6571;26,1575;100,48;0,0;0,12;planilha Benfica 2001-2020 corrigida
2004;6;Caatinga;104,7571;58,5787;;0,3399;28,3475;19,75;500,0;0,22;planilha Benfica 2001-2020 corrigida
2004;6;Cerrado;111,8976;63,9678;;0,3591;28,3825;2,079;16950,0;0,22;planilha Benfica 2001-2020 corrigida
2004;6;Mata Atlântica;133,3626;98,4996;;0,6692;24,4875;91,0;0,0;0,22;planilha Benfica 2001-2020 corrigida
2004;7;Caatinga;97,3043;46,9683;;0,2684;28,885;16,31;1450,0;0,39;planilha Benfica 2001-2020 corrigida
2004;7;Cerrado;97,0129;44,9097;;0,2256;28,97;0,59;31950,0;0,39;planilha Benfica 2001-2020 corrigida
2004;7;Mata Atlântica;143,4824;95,2101;;0,6386;23,4475;75,22;0,0;0,39;planilha Benfica 2001-2020 corrigida
2004;8;Caatinga;76,2025;36,0498;;0,1747;32,5425;8,12;12050,0;0,54;planilha Benfica 2001-2020 corrigida
2004;8;Cerrado;66,0485;32,862;;0,1396;33,4725;1,26;135300,0;0,54;planilha Benfica 2001-2020 corrigida
2004;8;Mata Atlântica;159,9698;98,2636;;0,5353;27,375;30,69;1075,0;0,54;planilha Benfica 2001-2020 corrigida
2004;9;Caatinga;58,7777;27,8229;;0,1188;36,005;6,51;41525,0;0,58;planilha Benfica 2001-2020 corrigida
2004;9;Cerrado;34,4751;27,9592;;0,1046;37,58;3,9;421875,0;0,58;planilha Benfica 2001-2020 corrigida
2004;9;Mata Atlântica;154,0969;87,0741;;0,4138;30,955;28,34;2350,0;0,58;planilha Benfica 2001-2020 corrigida
2004;10;Caatinga;51,3046;31,6299;;0,1233;38,445;29,32;53775,0;0,61;planilha Benfica 2001-2020 corrigida
2004;10;Cerrado;55,5294;46,3392;;0,1781;38,6825;82,79;230750,0;0,61;planilha Benfica 2001-2020 corrigida
2004;10;Mata Atlântica;142,589;93,594;;0,397;33,1675;55,56;6000,0;0,61;planilha Benfica 2001-2020 corrigida
2004;11;Caatinga;70,2317;58,5819;;0,2342;36,92;120,27;26775,0;0,64;planilha Benfica 2001-2020 corrigida
2004;11;Cerrado;71,0707;69,0695;;0,2894;36,3225;135,48;40750,0;0,64;planilha Benfica 2001-2020 corrigida
2004;11;Mata Atlântica;141,3101;112,7146;;0,4922;33,23;165,42;5225,0;0,64;planilha Benfica 2001-2020 corrigida
2004;12;Caatinga;83,0884;76,9055;;0,3145;33,6125;31,33;7950,0;0,71;planilha Benfica 2001-2020 corrigida
2004;12;Cerrado;93,9069;85,0778;;0,3816;32,445;114,36;27625,0;0,71;planilha Benfica 2001-2020 corrigida
2004;12;Mata Atlântica;144,3258;116,088;;0,4894;32,18;56,99;4825,0;0,71;planilha Benfica 2001-2020 corrigida
2005;1;Caatinga;82,7942;78,2909;;0,334;33,85;127,36;1375,0;0,62;planilha Benfica 2001-2020 corrigida
2005;1;Cerrado;110,1789;100,6223;;0,4869;31,5889;224,32;1850,0;0,62;planilha Benfica 2001-2020 corrigida
2005;1;Mata Atlântica;136,8877;109,3852;;0,4721;33,7767;111,46;2850,0;0,62;planilha Benfica 2001-2020 corrigida
2005;2;Caatinga;120,0845;109,5004;;0,4507;31,0225;177,15;0,0;0,55;planilha Benfica 2001-2020 corrigida
2005;2;Cerrado;145,5368;130,9748;;0,5808;29,5632;244,18;1000,0;0,55;planilha Benfica 2001-2020 corrigida
2005;2;Mata Atlântica;141,6261;125,7583;;0,5653;31,945;192,78;350,0;0,55;planilha Benfica 2001-2020 corrigida
2005;3;Caatinga;129,7523;115,6864;;0,4814;30,1725;105,19;850,0;0,4;planilha Benfica 2001-2020 corrigida
2005;3;Cerrado;129,5443;121,498;;0,6087;28,6764;225,92;9800,0;0,4;planilha Benfica 2001-2020 corrigida
2005;3;Mata Atlântica;149,3445;131,0724;;0,5529;29,4575;104,43;1325,0;0,4;planilha Benfica 2001-2020 corrigida
2005;4;Caatinga;137,8136;111,2318;;0,5135;29,1775;92,168;1300,0;0,37;planilha Benfica 2001-2020 corrigida
2005;4;Cerrado;147,8111;120,0517;;0,5628;29,6115;66,91;11275,0;0,37;planilha Benfica 2001-2020 corrigida
2005;4;Mata Atlântica;144,6076;125,4794;;0,6242;27,2025;154,06;0,0;0,37;planilha Benfica 2001-2020 corrigida
2005;5;Caatinga;136,0588;92,5621;;0,5006;27,39;64,4;750,0;0,27;planilha Benfica 2001-2020 corrigida
2005;5;Cerrado;144,1535;96,7676;;0,5168;27,6128;50,17;11275,0;0,27;planilha Benfica 2001-2020 corrigida
