ano,mes,bioma,planilha,gee_v61,dif,dif_pct
2018,3,Cerrado,141.60829608944184,141.0566,-0.552,-0.39
2018,3,Caatinga,131.4365965896213,131.402,-0.035,-0.03
2019,3,Mata Atlântica,90.23793979438034,90.4925,0.255,0.28
2019,3,Cerrado,125.02209068879172,124.3213,-0.701,-0.56
2019,3,Caatinga,92.9609615440258,92.5266,-0.434,-0.47
2020,3,Mata Atlântica,112.41260721403488,112.9185,0.506,0.45
2020,3,Cerrado,116.36261453127175,116.3478,-0.015,-0.01
2020,3,Caatinga,113.5890532244764,113.545,-0.044,-0.04
2001,4,Mata Atlântica,134.0681383981404,134.8856,0.817,0.61
2001,4,Cerrado,82.85868149296014,82.8162,-0.042,-0.05
2001,4,Caatinga,88.86664032435404,88.9669,0.1,0.11
2002,4,Mata Atlântica,147.68516311952848,148.6969,1.012,0.69
2002,4,Cerrado,82.3593852778215,82.1981,-0.161,-0.2
2002,4,Caatinga,89.84326510855203,89.8385,-0.005,-0.01
2003,4,Mata Atlântica,119.81851556311112,120.6033,0.785,0.66
2003,4,Cerrado,131.41720984007458,131.2246,-0.193,-0.15
2003,4,Caatinga,99.25523388254244,99.1833,-0.072,-0.07
2004,4,Mata Atlântica,138.4366084387161,139.2546,0.818,0.59
2004,4,Cerrado,142.04574379648352,141.7976,-0.248,-0.17
2004,4,Caatinga,135.89162803230278,135.7719,-0.12,-0.09
2005,4,Mata Atlântica,144.6075732957097,145.3732,0.766,0.53
2005,4,Cerrado,147.811124966203,147.4452,-0.366,-0.25
2005,4,Caatinga,137.81362415148567,137.6812,-0.132,-0.1
2006,4,Mata Atlântica,121.54221536053721,122.0868,0.545,0.45
2006,4,Cerrado,125.11279542056509,124.6658,-0.447,-0.36
2006,4,Caatinga,129.19430135080475,129.0389,-0.155,-0.12
2007,4,Mata Atlântica,127.51149086100988,128.1774,0.666,0.52
2007,4,Cerrado,107.05644452156648,106.4966,-0.56,-0.52
2007,4,Caatinga,89.24944419160485,89.0125,-0.237,-0.27
2008,4,Mata Atlântica,130.37456579436838,131.2094,0.835,0.64
2008,4,Cerrado,132.51478772495142,131.831,-0.684,-0.52
2008,4,Caatinga,139.5167933041379,139.2445,-0.272,-0.19
2009,4,Mata Atlântica,112.11250293935107,112.5995,0.487,0.43
2009,4,Cerrado,105.91724915104105,105.4231,-0.494,-0.47
2009,4,Caatinga,103.99316074088406,103.7594,-0.234,-0.23
2010,4,Mata Atlântica,139.41576571540915,140.2495,0.834,0.6
2010,4,Cerrado,149.0787123668552,148.4581,-0.621,-0.42
2010,4,Caatinga,129.94546492450584,129.875,-0.07,-0.05
2011,4,Mata Atlântica,145.6617454541249,146.504,0.842,0.58
2011,4,Cerrado,158.01007955900542,157.6947,-0.315,-0.2
2011,4,Caatinga,147.5884966629213,147.5681,-0.02,-0.01
2012,4,Mata Atlântica,119.69199494238873,120.4575,0.766,0.64
2012,4,Cerrado,110.50907876603841,109.9788,-0.53,-0.48
2012,4,Caatinga,53.62233178374572,53.3459,-0.276,-0.51
2013,4,Mata Atlântica,115.64724433428036,116.0909,0.444,0.38
2013,4,Cerrado,124.32216433585482,123.461,-0.861,-0.69
2013,4,Caatinga,79.44567300968814,78.9522,-0.493,-0.62
2014,4,Mata Atlântica,129.05549610463706,129.6018,0.546,0.42
2014,4,Cerrado,138.79655190503766,137.5954,-1.201,-0.87
