ano,mes,bioma,psn_g_c_m2,et_mm,pet_mm,ida,lst_dia_c,precip_mm,area_queimada_ha,oni
2018,7,Caatinga,75.6141,30.1032,183.836,0.1638,30.5151,7.1723,950.0,0.2
2018,7,Cerrado,95.5915,38.7985,189.2872,0.205,31.9926,0.2803,5600.0,0.2
2018,7,Mata Atlântica,145.919,92.5498,153.8243,0.6017,24.2939,43.7199,1375.0,0.2
2018,8,Caatinga,54.8709,24.8875,213.1772,0.1167,34.2323,7.9638,8575.0,0.3
2018,8,Cerrado,65.06,32.9635,218.91,0.1506,35.5499,8.6819,25325.0,0.3
2018,8,Mata Atlântica,134.5931,89.8357,175.121,0.513,26.2973,35.1284,600.0,0.3
2018,9,Caatinga,40.4188,20.5377,246.8361,0.0832,37.7707,4.7865,33375.0,0.52
2018,9,Cerrado,31.0801,24.3709,258.5594,0.0943,39.9454,3.1826,114400.0,0.52
2018,9,Mata Atlântica,136.6724,89.5952,210.3281,0.426,30.3308,25.5006,10250.0,0.52
2018,10,Caatinga,40.6049,31.6778,236.8189,0.1338,40.5242,43.5458,28400.0,0.82
2018,10,Cerrado,53.4946,59.3647,200.8754,0.2955,38.7457,112.2505,118475.0,0.82
2018,10,Mata Atlântica,103.9715,90.0809,204.2599,0.441,32.9834,62.6684,10250.0,0.82
2018,11,Caatinga,78.249,65.0523,209.9306,0.3099,34.0403,68.9583,1525.0,1.04
2018,11,Cerrado,110.1548,99.1288,186.1657,0.5325,31.9292,214.2044,20350.0,1.04
2018,11,Mata Atlântica,121.2457,108.5406,201.1738,0.5395,28.6211,134.8443,400.0,1.04
2018,12,Caatinga,106.0316,82.7281,199.3708,0.4149,31.9434,134.5774,450.0,1.05
2018,12,Cerrado,116.7892,97.6648,182.5963,0.5349,31.2924,171.3843,21500.0,1.05
2018,12,Mata Atlântica,125.6454,111.5092,197.4299,0.5648,29.6487,150.9369,300.0,1.05
2019,1,Caatinga,85.487,65.9002,215.2949,0.3061,33.9063,13.3259,3375.0,0.99
2019,1,Cerrado,124.8368,102.3229,196.79,0.52,31.6453,41.7172,7375.0,0.99
2019,1,Mata Atlântica,137.5977,102.027,221.1908,0.4613,30.3292,16.7816,950.0,0.99
2019,2,Caatinga,78.3853,63.6158,231.4964,0.2748,34.6206,96.9873,1375.0,0.94
2019,2,Cerrado,131.0066,112.6735,214.7505,0.5247,31.9105,151.2525,4900.0,0.94
2019,2,Mata Atlântica,115.9743,98.1792,241.7532,0.4061,32.5597,40.3977,8675.0,0.94
2019,3,Caatinga,92.5266,77.5376,218.0915,0.3555,33.1451,143.6668,475.0,0.87
2019,3,Cerrado,124.3213,118.1333,191.4179,0.6171,30.057,253.6399,7925.0,0.87
2019,3,Mata Atlântica,90.4925,93.0375,204.9091,0.454,31.7951,130.5456,11650.0,0.87
2019,4,Caatinga,131.1571,100.6512,210.2103,0.4788,29.8982,71.4906,625.0,0.82
2019,4,Cerrado,143.2932,115.3192,198.8468,0.5799,29.5409,101.9304,10525.0,0.82
2019,4,Mata Atlântica,138.1798,124.7727,203.9052,0.6119,28.5013,101.9859,275.0,0.82
2019,5,Caatinga,104.8418,67.7268,184.3736,0.3673,31.4539,23.9042,750.0,0.71
2019,5,Cerrado,137.0799,92.9376,183.8433,0.5055,30.9301,29.928,5300.0,0.71
2019,5,Mata Atlântica,126.8781,115.9124,173.7901,0.667,27.3313,59.5326,1750.0,0.71
