ano,mes,bioma,psn_g_c_m2_planilha,ida_planilha,et_mm_planilha,precip_mm_planilha,lst_dia_c_planilha,area_queimada_ha_planilha,psn_g_c_m2_gee,et_mm_gee,pet_mm,ida_gee,lst_dia_c_gee,precip_mm_gee,precip_v06_mm,area_queimada_ha_gee,oni
2020,2,Mata Atlântica,133.7453,0.5262,122.7901,36.5,30.1786,5475,134.5566,120.9387,226.222,0.5346,30.6982,36.9549,36.9907,5500,0.66
2020,2,Cerrado,133.0095,0.6111,131.5151,178.04,29.9778,1200,133.008,123.0068,195.6306,0.6288,30.4794,170.492,179.765,1075,0.66
2020,2,Caatinga,130.1509,0.4933,113.3124,69.42,30.6453,475,130.0876,108.7134,214.2938,0.5073,31.247,74.3935,70.9071,600,0.66
2001,3,Mata Atlântica,125.1755,0.5598,98.5551,113.51,29.1505,100,126.124,110.4488,206.1173,0.5359,29.1372,112.1334,114.917,50,-0.43
2001,3,Cerrado,99.9636,0.4304,89.2413,160.98,30.2487,11950,100.2236,88.6509,202.1379,0.4386,30.2458,163.1434,162.6583,10825,-0.43
2001,3,Caatinga,93.8035,0.3801,80.7663,97.51,31.5951,775,94.112,81.7372,214.0357,0.3819,31.604,94.5379,98.325,250,-0.43
2002,3,Mata Atlântica,157.4312,0.576,99.8639,82.7,27.07,0,158.6779,118.7836,217.7418,0.5455,27.0913,83.0538,84.8013,0,0.11
2002,3,Cerrado,69.8118,0.2861,69.0892,78.88,31.5189,10850,69.8906,67.377,227.5502,0.2961,31.5137,79.4397,79.9668,10950,0.11
2002,3,Caatinga,96.5245,0.3767,78.3248,21.92,30.3277,25,96.7163,83.0697,230.691,0.3601,30.3312,25.182,22.1817,25,0.11
2003,3,Mata Atlântica,116.3219,0.4428,97.0388,84.6906,33.295,5275,117.1388,95.715,212.3902,0.4507,31.3592,81.0423,86.5049,5900,0.38
2003,3,Cerrado,112.5683,0.4835,98.0108,186.2649,30.7175,4300,112.8005,97.3572,196.6425,0.4951,30.1102,159.7637,187.5253,4275,0.38
2003,3,Caatinga,93.2057,0.3286,76.059,98.66,31.8825,2400,93.3428,74.3419,220.3277,0.3374,33.1188,98.384,100.2434,2825,0.38
2004,3,Mata Atlântica,133.2363,0.6313,115.0139,231.27,29.6375,2625,134.1104,120.4881,192.3948,0.6263,28.3482,225.4955,234.144,2550,0.19
2004,3,Cerrado,138.3204,0.6124,121.3091,236.0,28.3225,35625,138.2423,119.935,193.3637,0.6203,28.0907,240.8896,235.677,39800,0.19
2004,3,Caatinga,143.7385,0.5566,123.3922,125.06,28.0325,3100,143.9117,121.2426,214.256,0.5659,28.2062,126.6865,126.0355,2950,0.19
2005,3,Mata Atlântica,149.3445,0.5529,131.0724,104.43,29.4575,1325,150.1692,124.4835,221.5313,0.5619,29.0591,109.723,107.3594,1575,0.4
2005,3,Cerrado,129.5443,0.6087,121.498,225.92,28.6764,9800,129.3932,120.785,196.0463,0.6161,28.1024,242.1113,228.5642,8000,0.4
2005,3,Caatinga,129.7523,0.4814,115.6864,105.19,30.1725,850,129.6457,110.5949,222.9056,0.4962,29.9611,101.0247,106.7202,800,0.4
2006,3,Mata Atlântica,104.7889,0.5125,101.3977,189.5,30.7,1450,105.4282,103.9622,201.5502,0.5158,29.8646,207.6301,190.3329,1425,-0.63
2006,3,Cerrado,122.5624,0.5828,115.1178,309.91,29.7175,75,122.4905,112.6622,189.818,0.5935,28.8379,261.6065,312.8935,0,-0.63
2006,3,Caatinga,104.4751,0.4354,92.1398,203.18,30.6375,425,104.5158,92.2543,209.0015,0.4414,30.2744,179.9037,205.3718,350,-0.63
2007,3,Mata Atlântica,178.0709,0.5465,135.1147,58.61,27.795,50,179.1294,130.5861,233.4572,0.5594,26.9834,88.0516,59.7606,50,-0.12
