tipo,bioma,variavel,fase,n,minimo,P10,Q1,mediana,media,Q3,P90,maximo,bigode_inf,bigode_sup,n_outliers,amplitude,IQR,desvio_padrao
anomalia,Cerrado,EV,La Niña,73,-35.627,-9.191,-1.488,4.633,4.104,11.666,18.803,33.773,-12.459,27.283,5,69.399,13.154,12.965
anomalia,Cerrado,PRE,El Niño,76,-138.512,-85.24,-40.813,-0.734,-1.507,23.792,96.896,285.071,-136.5,116.336,4,423.583,64.605,70.43
anomalia,Cerrado,PRE,Neutro,148,-120.439,-53.991,-13.653,-1.124,-2.082,4.414,38.636,217.104,-39.658,26.727,38,337.543,18.067,47.829
anomalia,Cerrado,PRE,La Niña,73,-137.823,-55.635,-20.28,-2.263,5.79,32.958,72.46,250.229,-95.499,109.054,4,388.052,53.239,57.133
anomalia,Cerrado,TST,El Niño,76,-7.019,-1.504,-0.589,0.21,0.402,1.305,2.969,5.105,-3.054,3.595,6,12.125,1.893,1.989
anomalia,Cerrado,TST,Neutro,148,-4.751,-2.162,-0.979,0.081,-0.03,1.029,1.707,4.045,-3.414,3.55,3,8.796,2.008,1.593
anomalia,Cerrado,TST,La Niña,73,-4.151,-2.587,-1.268,-0.355,-0.359,0.6,1.412,3.184,-3.698,3.184,1,7.334,1.868,1.52
anomalia,Cerrado,WAI,El Niño,76,-0.249,-0.111,-0.056,0.003,-0.003,0.067,0.094,0.306,-0.225,0.16,3,0.555,0.123,0.099
anomalia,Cerrado,WAI,Neutro,148,-0.259,-0.128,-0.072,-0.013,-0.014,0.046,0.1,0.218,-0.248,0.218,2,0.478,0.118,0.094
anomalia,Cerrado,WAI,La Niña,73,-0.225,-0.052,-0.025,0.037,0.032,0.086,0.138,0.205,-0.147,0.205,2,0.43,0.111,0.087
anomalia,Cerrado,BURN,El Niño,76,-306452.0,-128460.333,-15939.25,-2716.896,-14128.452,4570.812,41393.042,269698.0,-36294.792,30809.0,21,576150.0,20510.062,96395.425
anomalia,Cerrado,BURN,Neutro,148,-312627.0,-95381.5,-16745.573,-4518.0,-9652.754,1921.5,18579.633,880098.0,-37670.0,23005.0,31,1192725.0,18667.073,103041.264
anomalia,Cerrado,BURN,La Niña,73,-302427.0,-24379.792,-8322.917,-48.0,34279.041,10809.0,141825.833,725198.0,-31669.792,22796.0,19,1027625.0,19131.917,154338.152
anomalia,Caatinga,NP,El Niño,76,-50.633,-33.085,-14.742,-3.316,-4.374,6.959,23.27,45.291,-44.425,35.762,3,95.924,21.7,20.213
anomalia,Caatinga,NP,Neutro,148,-53.627,-24.78,-13.342,-3.368,-1.328,7.051,28.208,55.403,-40.698,37.445,9,109.031,20.394,19.973
anomalia,Caatinga,NP,La Niña,73,-36.514,-17.716,-4.813,6.705,7.247,23.288,32.185,46.566,-36.514,46.566,0,83.08,28.101,19.467
anomalia,Caatinga,EV,El Niño,76,-37.043,-24.327,-10.289,-1.959,-1.82,8.431,17.774,33.064,-37.043,33.064,0,70.108,18.72,15.657
anomalia,Caatinga,EV,Neutro,148,-47.874,-18.163,-8.683,-4.006,-1.53,3.74,23.117,42.556,-27.263,21.132,23,90.43,12.423,15.698
