ano,mes,bioma,precip_mm
2013,2,Cerrado,57.2727
2013,2,Mata Atlântica,45.1498
2013,3,Caatinga,44.5245
2013,3,Cerrado,145.9684
2013,3,Mata Atlântica,28.1353
2013,4,Caatinga,56.4462
2013,4,Cerrado,111.4700
2013,4,Mata Atlântica,89.3176
2013,5,Caatinga,15.3445
2013,5,Cerrado,9.9223
2013,5,Mata Atlântica,50.9256
2013,6,Caatinga,22.0722
2013,6,Cerrado,7.1243
2013,6,Mata Atlântica,96.0267
2013,7,Caatinga,32.6409
2013,7,Cerrado,1.0173
2013,7,Mata Atlântica,100.9578
2013,8,Caatinga,19.6622
2013,8,Cerrado,0.8716
2013,8,Mata Atlântica,101.5401
2013,9,Caatinga,12.2051
2013,9,Cerrado,7.3026
2013,9,Mata Atlântica,77.8694
2013,10,Caatinga,39.9285
2013,10,Cerrado,73.7732
2013,10,Mata Atlântica,99.3632
2013,11,Caatinga,93.5423
2013,11,Cerrado,184.6196
2013,11,Mata Atlântica,141.3390
2013,12,Caatinga,219.8071
2013,12,Cerrado,331.9440
2013,12,Mata Atlântica,211.7200
2014,1,Caatinga,14.8118
2014,1,Cerrado,60.9828
2014,1,Mata Atlântica,57.7945
2014,2,Caatinga,55.3108
2014,2,Cerrado,105.3337
2014,2,Mata Atlântica,83.0909
2014,3,Caatinga,68.2886
2014,3,Cerrado,161.1945
2014,3,Mata Atlântica,110.9194
2014,4,Caatinga,91.6705
2014,4,Cerrado,97.9852
2014,4,Mata Atlântica,55.4310
2014,5,Caatinga,29.5363
2014,5,Cerrado,20.2132
2014,5,Mata Atlântica,67.1268
2014,6,Caatinga,16.3900
2014,6,Cerrado,2.3177
2014,6,Mata Atlântica,102.4799
2014,7,Caatinga,31.9201
2014,7,Cerrado,0.3005
2014,7,Mata Atlântica,124.1846
2014,8,Caatinga,11.3351
2014,8,Cerrado,0.3750
2014,8,Mata Atlântica,40.8402
2014,9,Caatinga,13.2579
2014,9,Cerrado,6.5770
2014,9,Mata Atlântica,36.6830
2014,10,Caatinga,33.7189
2014,10,Cerrado,65.7400
2014,10,Mata Atlântica,96.4584
2014,11,Caatinga,141.8617
2014,11,Cerrado,218.9907
2014,11,Mata Atlântica,146.2835
2014,12,Caatinga,121.6065
2014,12,Cerrado,203.3020
2014,12,Mata Atlântica,149.3933
2015,1,Caatinga,20.1888
2015,1,Cerrado,76.3257
2015,1,Mata Atlântica,33.5854
2015,2,Caatinga,116.0621
2015,2,Cerrado,156.0982
2015,2,Mata Atlântica,120.6210
2015,3,Caatinga,45.4532
2015,3,Cerrado,136.0421
2015,3,Mata Atlântica,71.7412
2015,4,Caatinga,108.2446
2015,4,Cerrado,219.0907
2015,4,Mata Atlântica,93.5431
2015,5,Caatinga,42.7742
2015,5,Cerrado,22.4427
2015,5,Mata Atlântica,137.7090
2015,6,Caatinga,40.7848
2015,6,Cerrado,1.5801
2015,6,Mata Atlântica,169.0146
2015,7,Caatinga,26.2038
2015,7,Cerrado,0.5953
2015,7,Mata Atlântica,77.2126
2015,8,Caatinga,22.0848
2015,8,Cerrado,0.6557
2015,8,Mata Atlântica,68.8613
2015,9,Caatinga,4.3613
2015,9,Cerrado,2.5063
2015,9,Mata Atlântica,17.7224
2015,10,Caatinga,12.8559
2015,10,Cerrado,36.5932
2015,10,Mata Atlântica,23.5477
2015,11,Caatinga,48.4694
2015,11,Cerrado,136.4745
2015,11,Mata Atlântica,35.3371
2015,12,Caatinga,11.4490
2015,12,Cerrado,41.0173
2015,12,Mata Atlântica,18.8259
2016,1,Caatinga,395.1531
2016,1,Cerrado,489.4420
2016,1,Mata Atlântica,254.3174
2016,2,Caatinga,26.3506
2016,2,Cerrado,38.4437
2016,2,Mata Atlântica,27.4995
2016,3,Caatinga,13.6254
2016,3,Cerrado,74.9942
2016,3,Mata Atlântica,36.6306
2016,4,Caatinga,9.7936
2016,4,Cerrado,9.7673
2016,4,Mata Atlântica,34.6219
2016,5,Caatinga,23.7371
2016,5,Cerrado,2.5089
2016,5,Mata Atlântica,60.0455
2016,6,Caatinga,13.7672
2016,6,Cerrado,4.4317
2016,6,Mata Atlântica,53.4610
2016,7,Caatinga,9.6568
2016,7,Cerrado,0.4269
2016,7,Mata Atlântica,58.9595
2016,8,Caatinga,15.1763
2016,8,Cerrado,1.5207
2016,8,Mata Atlântica,59.7590
2016,9,Caatinga,18.7951
2016,9,Cerrado,26.2952
2016,9,Mata Atlântica,56.3265
2016,10,Caatinga,39.3564
2016,10,Cerrado,66.4499
2016,10,Mata Atlântica,112.8761
2016,11,Caatinga,94.4754
2016,11,Cerrado,153.6954
2016,11,Mata Atlântica,153.3233
2016,12,Caatinga,47.8243
2016,12,Cerrado,111.8828
2016,12,Mata Atlântica,74.0789
2017,1,Caatinga,18.9598
2017,1,Cerrado,90.2216
2017,1,Mata Atlântica,14.7572
2017,2,Caatinga,82.5899
2017,2,Cerrado,216.8986
2017,2,Mata Atlântica,111.0036
2017,3,Caatinga,73.1288
2017,3,Cerrado,141.3462
2017,3,Mata Atlântica,123.1814
2017,4,Caatinga,52.4192
2017,4,Cerrado,57.6665
2017,4,Mata Atlântica,104.3374
2017,5,Caatinga,26.6431
2017,5,Cerrado,15.6147
2017,5,Mata Atlântica,95.5130
2017,6,Caatinga,24.6311
2017,6,Cerrado,1.1296
2017,6,Mata Atlântica,93.4285
2017,7,Caatinga,33.2897
2017,7,Cerrado,2.3520
2017,7,Mata Atlântica,119.1964
2017,8,Caatinga,7.4266
2017,8,Cerrado,0.4645
2017,8,Mata Atlântica,39.8004
2017,9,Caatinga,35.9885
2017,9,Cerrado,4.4201
2017,9,Mata Atlântica,75.0832
2017,10,Caatinga,10.0184
2017,10,Cerrado,23.4582
2017,10,Mata Atlântica,19.4263
2017,11,Caatinga,83.2408
2017,11,Cerrado,150.7697
2017,11,Mata Atlântica,112.9751
2017,12,Caatinga,83.9051
2017,12,Cerrado,156.9162
2017,12,Mata Atlântica,144.7961
2018,1,Caatinga,61.8643
2018,1,Cerrado,132.5926
2018,1,Mata Atlântica,52.1328
2018,2,Caatinga,134.1719
2018,2,Cerrado,247.4846
2018,2,Mata Atlântica,118.0119
2018,3,Caatinga,114.2690
2018,3,Cerrado,172.5162
2018,3,Mata Atlântica,115.7497
2018,4,Caatinga,40.5644
2018,4,Cerrado,71.4636
2018,4,Mata Atlântica,117.7862
2018,5,Caatinga,26.3895
2018,5,Cerrado,3.7534
2018,5,Mata Atlântica,106.0758
2018,6,Caatinga,29.4288
2018,6,Cerrado,2.1991
2018,6,Mata Atlântica,94.7226
2018,7,Caatinga,5.7785
2018,7,Cerrado,0.2155
2018,7,Mata Atlântica,44.0870
2018,8,Caatinga,7.9553
2018,8,Cerrado,8.2741
2018,8,Mata Atlântica,37.0612
2018,9,Caatinga,4.3438
2018,9,Cerrado,3.9985
2018,9,Mata Atlântica,25.3634
2018,10,Caatinga,42.7237
2018,10,Cerrado,103.4981
2018,10,Mata Atlântica,63.0298
2018,11,Caatinga,67.4075
2018,11,Cerrado,205.0324
2018,11,Mata Atlântica,151.0551
2018,12,Caatinga,138.0126
2018,12,Cerrado,166.5828
2018,12,Mata Atlântica,167.6782
2019,1,Caatinga,13.0939
2019,1,Cerrado,38.6631
2019,1,Mata Atlântica,14.9251
2019,2,Caatinga,89.1308
2019,2,Cerrado,144.5546
2019,2,Mata Atlântica,42.3762
2019,3,Caatinga,145.8441
2019,3,Cerrado,240.4610
2019,3,Mata Atlântica,129.0891
2019,4,Caatinga,80.8921
2019,4,Cerrado,101.6758
2019,4,Mata Atlântica,104.3702
2019,5,Caatinga,21.7540
2019,5,Cerrado,36.2936
2019,5,Mata Atlântica,61.1016
2019,6,Caatinga,33.3559
2019,6,Cerrado,1.1297
2019,6,Mata Atlântica,87.2896
2019,7,Caatinga,27.0339
2019,7,Cerrado,0.6904
2019,7,Mata Atlântica,75.1481
2019,8,Caatinga,22.5013
2019,8,Cerrado,1.9397
2019,8,Mata Atlântica,82.2562
2019,9,Caatinga,17.6853
2019,9,Cerrado,12.5784
2019,9,Mata Atlântica,57.1727
2019,10,Caatinga,25.9468
2019,10,Cerrado,46.6963
2019,10,Mata Atlântica,47.5080
2019,11,Caatinga,45.0780
2019,11,Cerrado,125.3436
2019,11,Mata Atlântica,67.5378
2019,12,Caatinga,35.0388
2019,12,Cerrado,77.5296
2019,12,Mata Atlântica,63.7589
2020,1,Caatinga,180.0907
2020,1,Cerrado,280.5396
2020,1,Mata Atlântica,149.6419
2020,2,Caatinga,70.9093
2020,2,Cerrado,179.7742
2020,2,Mata Atlântica,36.9905
2020,3,Caatinga,198.1092
2020,3,Cerrado,271.9884
2020,3,Mata Atlântica,195.6538
2020,4,Caatinga,117.8725
2020,4,Cerrado,140.0568
2020,4,Mata Atlântica,179.5735
2020,5,Caatinga,47.8332
2020,5,Cerrado,25.4072
2020,5,Mata Atlântica,107.3713
2020,6,Caatinga,36.5131
2020,6,Cerrado,2.3922
2020,6,Mata Atlântica,76.2882
2020,7,Caatinga,31.9282
2020,7,Cerrado,1.4236
2020,7,Mata Atlântica,58.2167
2020,8,Caatinga,17.6614
2020,8,Cerrado,0.9741
2020,8,Mata Atlântica,60.3614
2020,9,Caatinga,11.0163
2020,9,Cerrado,3.9309
2020,9,Mata Atlântica,24.8758
2020,10,Caatinga,61.2037
2020,10,Cerrado,92.3970
2020,10,Mata Atlântica,125.9359
2020,11,Caatinga,149.4082
2020,11,Cerrado,187.1255
2020,11,Mata Atlântica,151.6210
2020,12,Caatinga,13.6847
2020,12,Cerrado,102.5266
2020,12,Mata Atlântica,23.4726
