ano,mes,bioma,psn_g_c_m2,ida,et_mm,precip_mm,lst_dia_c,area_queimada_ha
2002,6,Cerrado,60.1403495922164,0.1589232,32.436072374779805,1.79,29.640600000000035,20925
2002,6,Caatinga,76.07788686428826,0.2468219,36.72071885495589,24.63,28.605850000000032,325
2003,6,Mata Atlântica,137.08078439082306,0.599832,97.22155832410772,71.1988,26.0625,1700
2003,6,Cerrado,95.03962663890269,0.2452798,47.25959841561623,1.1875,29.76,19675
2003,6,Caatinga,92.46685986336985,0.2676374,45.906420808858115,25.4,30.435,1150
2004,6,Mata Atlântica,133.3626373541651,0.6692036,98.49958192350272,91.0,24.4875,0
2004,6,Cerrado,111.89764752646255,0.3590728,63.96780968830901,2.079,28.382500000000004,16950
2004,6,Caatinga,104.75708833831949,0.3398581,58.57874347160071,19.75,28.347499999999997,500
2005,6,Mata Atlântica,134.65851937944154,0.6820764,104.53930659722764,165.6,24.3325,0
2005,6,Cerrado,125.13740350197536,0.4181437,74.93118846943119,2.21,28.141350000000017,16925
2005,6,Caatinga,115.44851328778988,0.3920191,68.30594165751987,38.54,28.0875,2000
2006,6,Mata Atlântica,131.92087224352045,0.691758,93.85424625387866,122.46,24.73,0
2006,6,Cerrado,147.14502438423992,0.4603591,80.85510686295875,2.34,27.31,12425
2006,6,Caatinga,132.00644274014022,0.4427519,70.99633790228617,36.69,27.372500000000002,575
2007,6,Mata Atlântica,126.45762353489933,0.5669584,92.44081167261784,29.68,25.35,2200
2007,6,Cerrado,81.26817498542191,0.2009041,38.606004786233726,1.23,30.05,61300
2007,6,Caatinga,88.36760964112518,0.2584631,44.03581600425053,16.28,29.66,1725
2008,6,Mata Atlântica,125.16381750896264,0.582119,92.37962768777383,81.11,25.472499999999997,1200
2008,6,Cerrado,115.06493027741739,0.3052116,57.763315697716656,1.67,29.21,18425
2008,6,Caatinga,111.45478900619976,0.3248195,57.63669204238225,20.46,28.67,100
2009,6,Mata Atlântica,134.45940014108885,0.6781753,104.13437654098408,65.08,24.95,0
2009,6,Cerrado,135.8705795115888,0.5330622,91.90148449922113,26.55,28.045,11575
2009,6,Caatinga,128.76936369494442,0.4646627,80.25983575661778,24.19,27.84,2625
2010,6,Mata Atlântica,132.27795313228816,0.6092863,97.59572822157035,30.41,26.162499999999998,975
2010,6,Cerrado,122.306329410198,0.3570428,65.98471472271322,0.5,29.747500000000002,23675
2010,6,Caatinga,95.4797846933215,0.2900638,50.338389191803635,18.96,29.95,1425
2011,6,Mata Atlântica,130.5880633434974,0.6306895,100.583605975851,37.92,25.3125,875
2011,6,Cerrado,125.1179799720343,0.4308757,76.745041445717,0.87,29.677500000000002,29425
2011,6,Caatinga,99.49109519595693,0.2959233,52.80317160882406,11.34,30.0325,225
2012,6,Mata Atlântica,119.60927794118213,0.5539117,87.77802870981259,53.21,26.4075,2125
2012,6,Cerrado,83.26449041276656,0.2124638,42.62678777532951,1.48,31.427500000000002,33325
2012,6,Caatinga,59.63310254283468,0.1621357,28.293356145919336,13.17,31.706666666666667,125
2013,6,Mata Atlântica,129.11795085790502,0.6393209,101.41188465399121,94.19,25.785000000000004,1725
2013,6,Cerrado,98.03687518537875,0.3272495,61.156193249231215,7.05,30.8475,17475
2013,6,Caatinga,77.17620089020915,0.2314294,40.68583366151052,22.54,31.840000000000003,850
2014,6,Mata Atlântica,123.03846907031699,0.6172226,92.8231594437352,100.21,25.76,725
2014,6,Cerrado,117.15467457077885,0.36867,68.35910716159391,2.33,30.072499999999998,11250
2014,6,Caatinga,88.94818353450646,0.2592457,46.13626700616169,16.83,30.59,100
2015,6,Mata Atlântica,122.93908623766919,0.6673851,102.51369319676844,166.74,25.185,1925
2015,6,Cerrado,122.17797791395199,0.4315201,75.71566866025812,1.58,29.7975,9200
2015,6,Caatinga,92.4812027106531,0.3406713,54.17587581091928,41.79,30.339999999999996,525
2016,6,Mata Atlântica,99.0292343038653,0.5257126,81.77364583434847,52.39,27.827499999999997,975
2016,6,Cerrado,68.44829007661313,0.1995977,39.39559916705005,4.38,31.3225,19475
2016,6,Caatinga,69.56105696663403,0.2215772,40.329937357861084,14.14,31.049999999999997,100
2017,6,Mata Atlântica,127.43715686690233,0.6098844,101.56521220508122,91.68,25.8725,0
2017,6,Cerrado,98.18133783421138,0.2384402,48.00044169753908,1.11,31.03,7125
2017,6,Caatinga,77.13138047519615,0.2193715,37.41427965761822,25.19,31.607499999999998,0
2018,6,Mata Atlântica,131.09219578198304,0.6436383,100.63464980070752,93.62,25.332500000000003,0
2018,6,Cerrado,118.84727899323455,0.3415019,62.62451209472384,2.17,30.53,6500
2018,6,Caatinga,91.23625842106024,0.2631182,44.92390412441825,30.03,30.724999999999998,1175
2019,6,Mata Atlântica,125.24646911657562,0.6188956,100.39217058267471,86.22,26.139999999999997,1325
2019,6,Cerrado,127.3458633554409,0.372385,68.91707587754344,1.14,30.02,4650
2019,6,Caatinga,96.84873708208153,0.2851194,49.753162110280805,33.97,30.775,1650
2020,6,Mata Atlântica,140.86807903288604,0.6835622,113.60947345852864,75.66,24.55622150000002,3025
2020,6,Cerrado,151.0898740332562,0.512717,92.99464091140221,2.39,28.319900000000032,13250
2020,6,Caatinga,138.31076810678653,0.4661848,83.91018599655399,37.16,26.750750000000025,475
2001,7,Mata Atlântica,134.588468492084,0.5852458,82.39359903169786,95.78,24.342409175000014,0
2001,7,Cerrado,58.76049745160471,0.1252042,27.956340259127057,2.25,30.377900000000054,65850
2001,7,Caatinga,75.42977633749024,0.2054677,33.645065033830136,21.09,29.515400000000028,2950
2002,7,Mata Atlântica,134.27084992540796,0.5683805,87.65398186967292,81.25,24.30277707500001,0
2002,7,Cerrado,41.43632462076731,0.1124573,25.006701144299587,4.06,31.802350000000033,62475
2002,7,Caatinga,68.59139305623873,0.1793636,33.10213100606283,18.68,30.51085000000002,1550
2003,7,Mata Atlântica,132.56186406539416,0.5506171,86.15497715684593,89.8925,25.122500000000002,1150
2003,7,Cerrado,79.23198004059677,0.1562158,32.961445316362216,0.8473,29.665,36725
2003,7,Caatinga,84.59668081433165,0.214784,37.67213353516591,26.59,30.745,2075
2004,7,Mata Atlântica,143.48236893892522,0.6385529,95.21012680679213,75.22,23.447499999999998,0
2004,7,Cerrado,97.01293608229118,0.2256393,44.90972382245701,0.59,28.97,31950
2004,7,Caatinga,97.30430482558324,0.2683561,46.9683057522284,16.31,28.884999999999998,1450
2005,7,Mata Atlântica,145.94370951172172,0.6212068,99.11132042006456,65.81,24.682499999999997,25
2005,7,Cerrado,111.33330165494364,0.255214,50.76191223740736,1.1,29.439720000000037,26175
2005,7,Caatinga,104.58501726113654,0.301719,53.446395298346346,24.01,29.25,3325
2006,7,Mata Atlântica,152.0145219082423,0.6041759,99.14354232610356,37.38,24.8075,1225
2006,7,Cerrado,111.78366144949527,0.2844637,54.73345036602984,0.3,29.435000000000002,39350
